[cs=0, path=0]
  32357708.416842, 10821371.668849
  32329549.213101, 10868415.998324
  32246513.542558, 10909779.600199
  32135318.668273, 10972973.235451
  32106408.643830, 10992133.114339
  32024123.793988, 11021351.939616
  31912928.919703, 11063884.277181
  31801734.045419, 11107389.698796
  31780541.015596, 11115025.303818
  31690539.171134, 11144474.025578
  31579344.296849, 11177647.652677
  31468149.422565, 11207401.593636
  31356954.548280, 11234766.176281
  31347284.016171, 11237127.142330
  31245759.673995, 11261915.216960
  31134564.799711, 11289393.270708
  31023369.925426, 11315099.423893
  30912175.051141, 11338752.443427
  30808476.423832, 11358472.237218
  30800980.176857, 11359947.848484
  30689785.302572, 11381485.781276
  30578590.428287, 11405378.729640
  30467395.554003, 11435056.950082
  30356200.679718, 11471639.473200
  30336452.877879, 11479093.282308
  30245005.805433, 11512450.605177
  30133810.931149, 11554234.587181
  30027076.572843, 11599022.109690
  30022616.056864, 11600921.081242
  29911421.182579, 11645995.388352
  29800226.308295, 11690085.738371
  29730374.275975, 11718289.738805
  29689031.434010, 11732117.177332
  29577836.559725, 11760069.918917
  29466641.685441, 11780163.644899
  29355446.811156, 11791752.293892
  29244251.936871, 11799578.556558
  29133057.062586, 11820198.500886
  29090829.209732, 11836926.423020
  29021862.188302, 11851301.784222
  28910667.314017, 11880903.783399
  28799472.439732, 11911138.759106
  28688277.565448, 11938753.458671
  28611014.282745, 11954961.693887
  28577082.691163, 11959569.745188
  28465887.816878, 11971039.513391
  28354692.942594, 11976820.977164
  28243498.068309, 11973203.649004
  28132303.194024, 11958287.042260
  28116923.565934, 11954961.693887
  28021108.319740, 11931409.447318
  27909913.445455, 11902142.295964
  27798718.571170, 11873943.502155
  27687523.696886, 11846511.919646
  27648998.660636, 11836926.423020
  27576328.822601, 11810442.413317
  27465133.948316, 11771423.973417
  27353939.074032, 11729078.576680
  27327612.366738, 11718289.738805
  27242744.199747, 11620349.530273
  27214717.407250, 11599022.109690
  27242744.199747, 11584458.382401
  27353939.074032, 11511664.488501
  27391093.438354, 11479093.282308
  27465133.948316, 11406934.734217
  27525304.171980, 11358472.237218
  27576328.822601, 11347154.723592
  27687523.696886, 11333540.126511
  27798718.571170, 11325030.920883
  27909913.445455, 11317131.124893
  28021108.319740, 11308448.125575
  28132303.194024, 11299774.962547
  28243498.068309, 11297050.515360
  28354692.942594, 11305631.063475
  28465887.816878, 11319737.164158
  28577082.691163, 11331622.115677
  28688277.565448, 11332479.155905
  28799472.439732, 11274801.653445
  28819441.222307, 11237127.142330
  28799472.439732, 11224586.524594
  28706377.569256, 11115025.303818
  28728677.071931, 10992133.114339
  28799472.439732, 10907081.802933
  28853936.289501, 10868415.998324
  28910667.314017, 10843719.739430
